town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
TOA PAYOH,1990-01,2 ROOM,18900.0,17000.0,19000.0,17950.0,18950.0,472.5,425.0,475.0,448.75,473.75
TOA PAYOH,1990-02,2 ROOM,18200.0,17000.0,19000.0,17600.0,18600.0,425.0,380.0,478.94736842105266,402.5,451.97368421052636
TOA PAYOH,1990-03,2 ROOM,14750.0,13500.0,16000.0,14125.0,15375.0,328.75,320.0,337.5,324.375,333.125
TOA PAYOH,1990-04,2 ROOM,19100.0,19100.0,19100.0,19100.0,19100.0,502.63157894736844,502.63157894736844,502.63157894736844,502.63157894736844,502.63157894736844
TOA PAYOH,1990-05,2 ROOM,15000.0,15000.0,15000.0,15000.0,15000.0,375.0,375.0,375.0,375.0,375.0
TOA PAYOH,1990-09,2 ROOM,15900.0,14000.0,18000.0,14950.0,16950.0,318.0,280.0,473.6842105263158,299.0,395.8421052631579
TOA PAYOH,1990-11,2 ROOM,19700.0,18900.0,20500.0,19300.0,20100.0,492.5,472.5,512.5,482.5,502.5
TOA PAYOH,1990-12,2 ROOM,18000.0,18000.0,18000.0,18000.0,18000.0,400.0,400.0,400.0,400.0,400.0
TOA PAYOH,1991-01,2 ROOM,19000.0,19000.0,19000.0,19000.0,19000.0,475.0,475.0,475.0,475.0,475.0
TOA PAYOH,1991-02,2 ROOM,14500.0,14000.0,15000.0,14250.0,14750.0,362.5,350.0,375.0,356.25,368.75
TOA PAYOH,1991-08,2 ROOM,19000.0,19000.0,19000.0,19000.0,19000.0,380.0,380.0,380.0,380.0,380.0
TOA PAYOH,1991-10,2 ROOM,16000.0,16000.0,16000.0,16000.0,16000.0,320.0,320.0,320.0,320.0,320.0
TOA PAYOH,1991-11,2 ROOM,18900.0,18900.0,18900.0,18900.0,18900.0,472.5,472.5,472.5,472.5,472.5
TOA PAYOH,1991-12,2 ROOM,21500.0,18900.0,25000.0,20200.0,23250.0,472.5,398.14814814814815,625.0,435.3240740740741,548.75
TOA PAYOH,1992-01,2 ROOM,17000.0,15000.0,19000.0,16000.0,18000.0,425.0,375.0,475.0,400.0,450.0
TOA PAYOH,1992-02,2 ROOM,18000.0,16000.0,20000.0,16750.0,19250.0,412.5,320.0,475.0,380.0,437.5
TOA PAYOH,1992-03,2 ROOM,21500.0,18000.0,25000.0,19500.0,23500.0,537.5,450.0,657.8947368421053,487.5,595.7236842105264
TOA PAYOH,1992-04,2 ROOM,17000.0,16000.0,18000.0,16500.0,17500.0,425.0,400.0,450.0,412.5,437.5
TOA PAYOH,1992-06,2 ROOM,18000.0,16000.0,25000.0,17000.0,21500.0,450.0,320.0,625.0,385.0,537.5
TOA PAYOH,1992-07,2 ROOM,21700.0,21400.0,22000.0,21550.0,21850.0,434.0,428.0,440.0,431.0,437.0
TOA PAYOH,1992-09,2 ROOM,24950.0,24950.0,24950.0,24950.0,24950.0,499.0,499.0,499.0,499.0,499.0
TOA PAYOH,1992-10,2 ROOM,19000.0,18000.0,25000.0,18500.0,22000.0,462.962962962963,422.22222222222223,473.6842105263158,442.5925925925926,468.3235867446394
TOA PAYOH,1992-11,2 ROOM,19500.0,19000.0,20000.0,19250.0,19750.0,450.0,400.0,500.0,425.0,475.0
TOA PAYOH,1992-12,2 ROOM,36000.0,36000.0,36000.0,36000.0,36000.0,900.0,900.0,900.0,900.0,900.0
TOA PAYOH,1993-01,2 ROOM,21750.0,15000.0,42000.0,18000.0,28875.0,496.25,375.0,840.0,378.75,669.375
TOA PAYOH,1993-02,2 ROOM,25000.0,25000.0,25000.0,25000.0,25000.0,500.0,500.0,500.0,500.0,500.0
TOA PAYOH,1993-04,2 ROOM,20000.0,20000.0,20000.0,20000.0,20000.0,400.0,400.0,400.0,400.0,400.0
TOA PAYOH,1993-05,2 ROOM,40000.0,40000.0,40000.0,40000.0,40000.0,1052.6315789473683,1052.6315789473683,1052.6315789473683,1052.6315789473683,1052.6315789473683
TOA PAYOH,1993-07,2 ROOM,39000.0,35000.0,43000.0,37000.0,41000.0,754.0740740740741,648.1481481481482,860.0,701.1111111111111,807.0370370370371
TOA PAYOH,1993-08,2 ROOM,45000.0,30000.0,47000.0,37500.0,46000.0,1125.0,750.0,1175.0,937.5,1150.0
TOA PAYOH,1993-09,2 ROOM,60000.0,60000.0,60000.0,60000.0,60000.0,1500.0,1500.0,1500.0,1500.0,1500.0
TOA PAYOH,1993-10,2 ROOM,43500.0,40000.0,47000.0,41750.0,45250.0,1031.9444444444443,888.8888888888889,1175.0,960.4166666666667,1103.4722222222222
TOA PAYOH,1993-11,2 ROOM,46000.0,40000.0,58000.0,43000.0,52000.0,1074.0740740740741,800.0,1150.0,937.0370370370371,1112.037037037037
TOA PAYOH,1993-12,2 ROOM,52000.0,52000.0,52000.0,52000.0,52000.0,1040.0,1040.0,1040.0,1040.0,1040.0
TOA PAYOH,1994-01,2 ROOM,39000.0,35000.0,48000.0,37000.0,43500.0,975.0,921.0526315789474,1200.0,948.0263157894738,1087.5
TOA PAYOH,1994-02,2 ROOM,42500.0,35000.0,50000.0,38750.0,46250.0,1062.5,875.0,1250.0,968.75,1156.25
TOA PAYOH,1994-03,2 ROOM,48500.0,40000.0,50000.0,44250.0,49250.0,1212.5,1052.6315789473683,1250.0,1132.5657894736842,1231.25
TOA PAYOH,1994-04,2 ROOM,49750.0,42000.0,57500.0,45875.0,53625.0,1223.2456140350878,933.3333333333334,1513.157894736842,1078.2894736842106,1368.201754385965
TOA PAYOH,1994-06,2 ROOM,48000.0,45000.0,65000.0,45750.0,53750.0,1125.0,920.0,1625.0,980.0,1343.75
TOA PAYOH,1994-07,2 ROOM,48000.0,48000.0,48000.0,48000.0,48000.0,960.0,960.0,960.0,960.0,960.0
TOA PAYOH,1994-08,2 ROOM,53000.0,40000.0,65000.0,46500.0,59000.0,1300.0,1000.0,1325.0,1150.0,1312.5
TOA PAYOH,1994-09,2 ROOM,41500.0,40000.0,43000.0,40750.0,42250.0,956.3157894736842,860.0,1052.6315789473683,908.1578947368421,1004.4736842105262
TOA PAYOH,1994-10,2 ROOM,66500.0,66500.0,66500.0,66500.0,66500.0,1231.4814814814815,1231.4814814814815,1231.4814814814815,1231.4814814814815,1231.4814814814815
TOA PAYOH,1994-11,2 ROOM,67500.0,67500.0,67500.0,67500.0,67500.0,1687.5,1687.5,1687.5,1687.5,1687.5
TOA PAYOH,1994-12,2 ROOM,64000.0,64000.0,64000.0,64000.0,64000.0,1684.2105263157894,1684.2105263157894,1684.2105263157894,1684.2105263157894,1684.2105263157894
TOA PAYOH,1995-01,2 ROOM,46000.0,33000.0,62000.0,40500.0,52250.0,1150.0,825.0,1550.0,1012.5,1306.25
TOA PAYOH,1995-02,2 ROOM,61000.0,61000.0,61000.0,61000.0,61000.0,1525.0,1525.0,1525.0,1525.0,1525.0
TOA PAYOH,1995-04,2 ROOM,65000.0,65000.0,65000.0,65000.0,65000.0,1625.0,1625.0,1625.0,1625.0,1625.0
TOA PAYOH,1995-05,2 ROOM,67500.0,67500.0,67500.0,67500.0,67500.0,1687.5,1687.5,1687.5,1687.5,1687.5
TOA PAYOH,1995-06,2 ROOM,64000.0,60000.0,71000.0,63000.0,67000.0,1600.0,1260.0,1775.0,1500.0,1675.0
TOA PAYOH,1995-07,2 ROOM,70000.0,65000.0,74000.0,67500.0,72000.0,1750.0,1203.7037037037037,1850.0,1476.8518518518517,1800.0
TOA PAYOH,1995-08,2 ROOM,76000.0,76000.0,76000.0,76000.0,76000.0,1900.0,1900.0,1900.0,1900.0,1900.0
TOA PAYOH,1995-09,2 ROOM,68500.0,63000.0,75000.0,64500.0,72750.0,1600.0,1440.0,1875.0,1541.25,1687.5
TOA PAYOH,1995-10,2 ROOM,68000.0,68000.0,68000.0,68000.0,68000.0,1360.0,1360.0,1360.0,1360.0,1360.0
