town,month,flat_type,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
JURONG EAST,1990-01,3 ROOM,01 TO 03,46700.0,44000.0,57300.0,45875.0,49250.0,680.7287093942055,656.7164179104477,774.3243243243244,674.0196078431372,701.4925373134329
JURONG EAST,1990-01,3 ROOM,04 TO 06,33400.0,26000.0,57000.0,32760.0,46700.0,491.1764705882353,337.6623376623377,697.0149253731344,442.7027027027027,678.5714285714286
JURONG EAST,1990-01,3 ROOM,07 TO 09,44500.0,26500.0,57000.0,33500.0,49250.0,664.1791044776119,358.1081081081081,770.2702702702703,480.18525592055005,715.3085921742638
JURONG EAST,1990-01,3 ROOM,10 TO 12,44850.0,29000.0,57000.0,34000.0,47075.0,649.8757249378625,391.8918918918919,770.2702702702703,465.5976398934145,696.2906057945567
JURONG EAST,1990-01,3 ROOM,13 TO 15,33000.0,26000.0,58000.0,27500.0,33000.0,445.94594594594594,337.6623376623377,783.7837837837837,371.6216216216216,445.94594594594594
JURONG EAST,1990-01,4 ROOM,01 TO 03,88000.0,60000.0,88000.0,74000.0,88000.0,838.0952380952381,618.5567010309278,846.1538461538462,728.3259695630829,842.1245421245421
JURONG EAST,1990-01,4 ROOM,04 TO 06,87000.0,72000.0,88000.0,79500.0,87500.0,846.1538461538462,800.0,966.6666666666666,823.0769230769231,906.4102564102564
JURONG EAST,1990-01,4 ROOM,07 TO 09,70500.0,70000.0,71000.0,70250.0,70750.0,726.828231292517,724.4897959183673,729.1666666666666,725.6590136054422,727.9974489795918
JURONG EAST,1990-01,4 ROOM,10 TO 12,75000.0,72000.0,90000.0,73500.0,82500.0,791.2087912087912,609.7560975609756,873.7864077669902,700.4824443848834,832.4975994878907
JURONG EAST,1990-01,5 ROOM,01 TO 03,109000.0,109000.0,109000.0,109000.0,109000.0,904.5798898071625,900.8264462809917,908.3333333333334,902.7031680440771,906.456611570248
JURONG EAST,1990-01,5 ROOM,04 TO 06,94500.0,80000.0,109000.0,87250.0,101750.0,835.0286077558806,769.2307692307693,900.8264462809917,802.1296884933249,867.9275270184361
JURONG EAST,1990-01,5 ROOM,07 TO 09,109000.0,80000.0,135000.0,84000.0,109000.0,865.0793650793651,701.7543859649123,1115.702479338843,807.6923076923077,886.1788617886178
JURONG EAST,1990-01,5 ROOM,10 TO 12,140000.0,95000.0,155000.0,117500.0,147500.0,1052.6315789473683,725.1908396946565,1091.5492957746478,888.9112093210124,1072.090437361008
JURONG EAST,1990-01,5 ROOM,13 TO 15,108000.0,86000.0,130000.0,97000.0,119000.0,863.7045736282378,735.042735042735,992.3664122137404,799.3736543354863,928.0354929209891
JURONG EAST,1990-01,5 ROOM,19 TO 21,143000.0,143000.0,143000.0,143000.0,143000.0,1191.6666666666667,1191.6666666666667,1191.6666666666667,1191.6666666666667,1191.6666666666667
JURONG EAST,1990-01,5 ROOM,22 TO 24,140000.0,140000.0,140000.0,140000.0,140000.0,1166.6666666666667,1166.6666666666667,1166.6666666666667,1166.6666666666667,1166.6666666666667
JURONG EAST,1990-01,5 ROOM,25 TO 27,103000.0,103000.0,103000.0,103000.0,103000.0,858.3333333333334,858.3333333333334,858.3333333333334,858.3333333333334,858.3333333333334
JURONG EAST,1990-01,EXECUTIVE,01 TO 03,159300.0,159000.0,159600.0,159150.0,159450.0,1065.8163265306123,1050.0,1081.6326530612246,1057.908163265306,1073.7244897959185
JURONG EAST,1990-01,EXECUTIVE,04 TO 06,171500.0,161000.0,182000.0,166250.0,176750.0,1098.9726731045819,1038.7096774193549,1159.2356687898089,1068.8411752619684,1129.1041709471954
JURONG EAST,1990-01,EXECUTIVE,07 TO 09,160000.0,160000.0,160000.0,160000.0,160000.0,1073.8255033557048,1073.8255033557048,1073.8255033557048,1073.8255033557048,1073.8255033557048
